Opt.,Const.,of,B-Spline,vs.,nm
Wavelength_(nm),n_5_gold,k_5_gold,n_20_Pd,k_20_Pd,n_MS_9_to_17,k_MS_9_to_17
444.000000,1.275384,1.950938,1.477866,3.279800,1.772877,3.073094,
445.000000,1.272329,1.950397,1.480629,3.286448,1.774842,3.078593,
446.000000,1.269137,1.949683,1.483395,3.293086,1.776809,3.084091,
447.000000,1.265793,1.948797,1.486164,3.299713,1.778778,3.089587,
448.000000,1.262280,1.947742,1.488936,3.306329,1.780749,3.095081,
449.000000,1.258582,1.946523,1.491710,3.312935,1.782722,3.100573,
450.000000,1.254681,1.945150,1.494487,3.319530,1.784697,3.106063,
451.000000,1.250563,1.943640,1.497266,3.326114,1.786674,3.111550,
452.000000,1.246223,1.942003,1.500047,3.332689,1.788653,3.117035,
453.000000,1.241654,1.940250,1.502830,3.339254,1.790635,3.122517,
454.000000,1.236851,1.938391,1.505616,3.345809,1.792617,3.127996,
455.000000,1.231807,1.936435,1.508404,3.352355,1.794602,3.133472,
456.000000,1.226519,1.934391,1.511195,3.358891,1.796587,3.138944,
457.000000,1.220981,1.932265,1.513988,3.365418,1.798574,3.144414,
458.000000,1.215189,1.930067,1.516783,3.371936,1.800563,3.149879,
459.000000,1.209139,1.927804,1.519582,3.378444,1.802552,3.155341,
460.000000,1.202826,1.925484,1.522383,3.384943,1.804543,3.160800,
461.000000,1.196246,1.923113,1.525186,3.391433,1.806534,3.166255,
462.000000,1.189396,1.920699,1.527993,3.397913,1.808526,3.171706,
463.000000,1.182271,1.918249,1.530802,3.404384,1.810518,3.177153,
464.000000,1.174867,1.915769,1.533615,3.410846,1.812511,3.182596,
465.000000,1.167181,1.913267,1.536430,3.417298,1.814505,3.188035,
466.000000,1.159211,1.910749,1.539249,3.423741,1.816498,3.193471,
467.000000,1.150953,1.908218,1.542071,3.430174,1.818491,3.198902,
468.000000,1.142401,1.905677,1.544896,3.436598,1.820484,3.204329,
469.000000,1.133547,1.903129,1.547724,3.443011,1.822477,3.209753,
470.000000,1.124382,1.900581,1.550555,3.449415,1.824470,3.215173,
471.000000,1.114895,1.898039,1.553389,3.455808,1.826462,3.220588,
472.000000,1.105078,1.895511,1.556226,3.462192,1.828453,3.226000,
