Opt.,Const.,of,B-Spline,vs.,nm
Wavelength(nm),n7_and_18_MS,k7_and_18_MS,n6,k6,n8_drude,k7_drude,n19_B_spline,k19_B_SPline,n19_Drude,k19_Drude
368.000000,1.604089,2.344957,1.635431,2.261051,1.716761,2.038567,1.571137,2.680125,1.689647,2.649667,
369.000000,1.602724,2.346074,1.634011,2.262856,1.719688,2.041819,1.574425,2.689083,1.693420,2.655079,
370.000000,1.600862,2.347428,1.632199,2.264939,1.722609,2.045064,1.578063,2.698082,1.697188,2.660475,
371.000000,1.598551,2.349105,1.630042,2.267367,1.725526,2.048302,1.582036,2.707059,1.700952,2.665856,
372.000000,1.595851,2.351172,1.627592,2.270190,1.728437,2.051535,1.586318,2.715963,1.704712,2.671222,
373.000000,1.592826,2.353683,1.624910,2.273448,1.731343,2.054760,1.590883,2.724755,1.708467,2.676573,
374.000000,1.589545,2.356678,1.622058,2.277172,1.734244,2.057979,1.595701,2.733403,1.712217,2.681909,
375.000000,1.586083,2.360188,1.619104,2.281384,1.737139,2.061192,1.600741,2.741882,1.715963,2.687231,
376.000000,1.582518,2.364233,1.616117,2.286095,1.740030,2.064398,1.605969,2.750171,1.719704,2.692537,
377.000000,1.578934,2.368823,1.613174,2.291308,1.742915,2.067598,1.611351,2.758257,1.723441,2.697829,
378.000000,1.575418,2.373953,1.610352,2.297016,1.745795,2.070792,1.616854,2.766130,1.727172,2.703107,
379.000000,1.572065,2.379604,1.607737,2.303197,1.748670,2.073980,1.622440,2.773788,1.730900,2.708370,
380.000000,1.568983,2.385724,1.605427,2.309799,1.751540,2.077161,1.628068,2.781236,1.734622,2.713619,
381.000000,1.566242,2.392202,1.603485,2.316715,1.754405,2.080336,1.633710,2.788502,1.738340,2.718854,
382.000000,1.563850,2.398940,1.601917,2.323851,1.757265,2.083505,1.639355,2.795605,1.742053,2.724075,
383.000000,1.561801,2.405865,1.600716,2.331134,1.760120,2.086668,1.644996,2.802560,1.745761,2.729282,
384.000000,1.560083,2.412917,1.599864,2.338504,1.762970,2.089825,1.650626,2.809380,1.749465,2.734475,
385.000000,1.558675,2.420045,1.599340,2.345912,1.765815,2.092976,1.656241,2.816073,1.753163,2.739655,
386.000000,1.557556,2.427205,1.599120,2.353315,1.768655,2.096121,1.661836,2.822650,1.756857,2.744821,
387.000000,1.556700,2.434362,1.599175,2.360677,1.771490,2.099260,1.667409,2.829118,1.760547,2.749973,
388.000000,1.556079,2.441487,1.599477,2.367970,1.774321,2.102393,1.672955,2.835484,1.764231,2.755112,
389.000000,1.555665,2.448555,1.599991,2.375169,1.777146,2.105521,1.678473,2.841754,1.767910,2.760238,
390.000000,1.555424,2.455548,1.600685,2.382257,1.779966,2.108642,1.683959,2.847934,1.771585,2.765351,
391.000000,1.555323,2.462454,1.601522,2.389224,1.782782,2.111758,1.689411,2.854031,1.775255,2.770451,
392.000000,1.555325,2.469271,1.602460,2.396067,1.785592,2.114868,1.694827,2.860050,1.778920,2.775538,
393.000000,1.555397,2.476017,1.603465,2.402807,1.788398,2.117973,1.700205,2.865999,1.782580,2.780612,
394.000000,1.555530,2.482707,1.604525,2.409463,1.791199,2.121071,1.705544,2.871883,1.786235,2.785673,
395.000000,1.555715,2.489352,1.605632,2.416049,1.793995,2.124165,1.710847,2.877709,1.789886,2.790721,
396.000000,1.555948,2.495960,1.606781,2.422574,1.796787,2.127252,1.716113,2.883482,1.793531,2.795758,
397.000000,1.556227,2.502537,1.607968,2.429046,1.799574,2.130334,1.721343,2.889205,1.797171,2.800781,
398.000000,1.556548,2.509087,1.609192,2.435471,1.802356,2.133411,1.726540,2.894882,1.800807,2.805792,
399.000000,1.556908,2.515613,1.610449,2.441853,1.805133,2.136482,1.731704,2.900518,1.804438,2.810791,
400.000000,1.557308,2.522118,1.611738,2.448197,1.807905,2.139548,1.736838,2.906114,1.808063,2.815778,
401.000000,1.557745,2.528604,1.613059,2.454506,1.810673,2.142608,1.741942,2.911674,1.811684,2.820752,
402.000000,1.558219,2.535073,1.614410,2.460782,1.813436,2.145663,1.747019,2.917200,1.815300,2.825715,
403.000000,1.558728,2.541525,1.615792,2.467028,1.816195,2.148713,1.752070,2.922693,1.818911,2.830666,
404.000000,1.559274,2.547961,1.617204,2.473245,1.818949,2.151757,1.757098,2.928155,1.822517,2.835605,
405.000000,1.559855,2.554381,1.618648,2.479433,1.821698,2.154796,1.762104,2.933587,1.826118,2.840532,
406.000000,1.560472,2.560782,1.620124,2.485591,1.824442,2.157830,1.767090,2.938989,1.829713,2.845447,
407.000000,1.561121,2.567163,1.621629,2.491716,1.827182,2.160859,1.772058,2.944360,1.833304,2.850351,
408.000000,1.561802,2.573523,1.623161,2.497809,1.829918,2.163882,1.777005,2.949699,1.836890,2.855243,
409.000000,1.562510,2.579859,1.624718,2.503869,1.832649,2.166901,1.781934,2.955009,1.840471,2.860125,
410.000000,1.563244,2.586174,1.626298,2.509895,1.835375,2.169914,1.786843,2.960288,1.844047,2.864994,
411.000000,1.564001,2.592464,1.627899,2.515888,1.838097,2.172922,1.791732,2.965538,1.847618,2.869853,
412.000000,1.564777,2.598732,1.629517,2.521847,1.840814,2.175925,1.796601,2.970759,1.851184,2.874700,
413.000000,1.565571,2.604976,1.631151,2.527773,1.843527,2.178923,1.801450,2.975952,1.854745,2.879536,
414.000000,1.566378,2.611198,1.632798,2.533667,1.846235,2.181916,1.806278,2.981117,1.858301,2.884362,
415.000000,1.567197,2.617398,1.634455,2.539528,1.848939,2.184905,1.811085,2.986255,1.861852,2.889176,
416.000000,1.568024,2.623576,1.636121,2.545359,1.851638,2.187888,1.815871,2.991368,1.865398,2.893979,
417.000000,1.568857,2.629735,1.637791,2.551159,1.854334,2.190867,1.820634,2.996455,1.868939,2.898772,
418.000000,1.569692,2.635875,1.639465,2.556931,1.857024,2.193840,1.825376,3.001519,1.872475,2.903554,
419.000000,1.570524,2.641999,1.641137,2.562676,1.859710,2.196809,1.830094,3.006562,1.876006,2.908325,
420.000000,1.571354,2.648114,1.642808,2.568398,1.862392,2.199773,1.834788,3.011584,1.879531,2.913086,
421.000000,1.572180,2.654222,1.644476,2.574102,1.865070,2.202732,1.839460,3.016588,1.883052,2.917837,
422.000000,1.573004,2.660327,1.646142,2.579789,1.867743,2.205687,1.844110,3.021576,1.886568,2.922577,
423.000000,1.573827,2.666432,1.647806,2.585461,1.870412,2.208637,1.848740,3.026549,1.890079,2.927306,
424.000000,1.574650,2.672539,1.649469,2.591121,1.873076,2.211581,1.853349,3.031509,1.893584,2.932026,
425.000000,1.575474,2.678648,1.651131,2.596770,1.875736,2.214522,1.857940,3.036455,1.897085,2.936735,
426.000000,1.576301,2.684762,1.652794,2.602409,1.878392,2.217458,1.862513,3.041390,1.900581,2.941434,
427.000000,1.577133,2.690883,1.654458,2.608039,1.881044,2.220389,1.867069,3.046314,1.904071,2.946123,
428.000000,1.577971,2.697010,1.656124,2.613661,1.883691,2.223315,1.871610,3.051227,1.907557,2.950803,
429.000000,1.578817,2.703144,1.657793,2.619277,1.886334,2.226238,1.876136,3.056130,1.911037,2.955472,
430.000000,1.579672,2.709286,1.659466,2.624886,1.888973,2.229155,1.880649,3.061024,1.914513,2.960131,
431.000000,1.580539,2.715436,1.661144,2.630489,1.891608,2.232068,1.885150,3.065908,1.917984,2.964781,
432.000000,1.581420,2.721593,1.662830,2.636086,1.894238,2.234977,1.889640,3.070783,1.921449,2.969421,
433.000000,1.582317,2.727757,1.664523,2.641676,1.896864,2.237881,1.894121,3.075649,1.924910,2.974051,
434.000000,1.583231,2.733926,1.666225,2.647260,1.899487,2.240781,1.898594,3.080504,1.928365,2.978672,
435.000000,1.584165,2.740097,1.667937,2.652836,1.902105,2.243676,1.903059,3.085349,1.931815,2.983284,
436.000000,1.585117,2.746269,1.669660,2.658401,1.904718,2.246567,1.907517,3.090180,1.935261,2.987885,
437.000000,1.586088,2.752438,1.671391,2.663956,1.907328,2.249454,1.911968,3.095000,1.938701,2.992478,
438.000000,1.587077,2.758605,1.673132,2.669500,1.909934,2.252336,1.916411,3.099805,1.942137,2.997061,
439.000000,1.588083,2.764767,1.674882,2.675032,1.912535,2.255214,1.920847,3.104597,1.945567,3.001635,
440.000000,1.589105,2.770924,1.676639,2.680551,1.915133,2.258088,1.925275,3.109375,1.948992,3.006200,
441.000000,1.590143,2.777076,1.678404,2.686058,1.917726,2.260957,1.929695,3.114139,1.952413,3.010756,
442.000000,1.591196,2.783220,1.680177,2.691551,1.920316,2.263823,1.934107,3.118888,1.955828,3.015302,
443.000000,1.592263,2.789357,1.681956,2.697032,1.922901,2.266684,1.938510,3.123623,1.959239,3.019840,
444.000000,1.593344,2.795486,1.683741,2.702498,1.925482,2.269541,1.942904,3.128344,1.962644,3.024368,
445.000000,1.594436,2.801607,1.685531,2.707951,1.928060,2.272393,1.947289,3.133050,1.966044,3.028888,
446.000000,1.595540,2.807720,1.687326,2.713390,1.930633,2.275242,1.951664,3.137742,1.969440,3.033399,
447.000000,1.596655,2.813823,1.689125,2.718816,1.933202,2.278086,1.956029,3.142420,1.972830,3.037901,
448.000000,1.597779,2.819918,1.690928,2.724227,1.935768,2.280927,1.960384,3.147084,1.976216,3.042395,
449.000000,1.598911,2.826004,1.692733,2.729625,1.938329,2.283763,1.964727,3.151734,1.979596,3.046880,
450.000000,1.600051,2.832082,1.694541,2.735010,1.940886,2.286596,1.969059,3.156372,1.982972,3.051356,
451.000000,1.601198,2.838151,1.696350,2.740381,1.943440,2.289424,1.973379,3.160998,1.986342,3.055824,
