Opt.,Const.,of,B-Spline,vs.,nm
Wavelength(nm),n_21,k_21,n22,k22,n23,k23,n124,k124,n_Pd_model,k_Pd_model
391.000000,2.719850,1.754511,2.719646,1.714850,2.764280,1.629761,2.785133,1.284048,2.890164,
392.000000,2.724644,1.757748,2.724375,1.717724,2.769210,1.632291,2.790465,1.286553,2.896425,
393.000000,2.729417,1.760982,2.729090,1.720582,2.774129,1.634806,2.795780,1.289054,2.902671,
394.000000,2.734171,1.764211,2.733789,1.723422,2.779036,1.637309,2.801080,1.291550,2.908905,
395.000000,2.738907,1.767434,2.738468,1.726245,2.783933,1.639799,2.806367,1.294041,2.915125,
396.000000,2.743624,1.770651,2.743127,1.729051,2.788820,1.642278,2.811644,1.296527,2.921332,
397.000000,2.748323,1.773860,2.747766,1.731840,2.793699,1.644746,2.816913,1.299009,2.927526,
398.000000,2.753006,1.777060,2.752383,1.734612,2.798569,1.647205,2.822177,1.301142,2.933835,
399.000000,2.757673,1.780248,2.756978,1.737367,2.803433,1.649654,2.827437,1.303044,2.940214,
400.000000,2.762323,1.783424,2.761551,1.740105,2.808290,1.652095,2.832696,1.304944,2.946580,
401.000000,2.766959,1.786585,2.766102,1.742826,2.813141,1.654528,2.837956,1.306841,2.952933,
402.000000,2.771579,1.789731,2.770632,1.745529,2.817987,1.656954,2.843218,1.308737,2.959272,
403.000000,2.776186,1.792858,2.775140,1.748216,2.822829,1.659374,2.848485,1.310630,2.965598,
404.000000,2.780778,1.795966,2.779628,1.750885,2.827668,1.661789,2.853757,1.312521,2.971911,
405.000000,2.785357,1.799051,2.784097,1.753537,2.832503,1.664198,2.859038,1.314409,2.978211,
406.000000,2.789923,1.802113,2.788551,1.756172,2.837336,1.666602,2.864326,1.316296,2.984497,
407.000000,2.794474,1.805150,2.792993,1.758792,2.842165,1.669001,2.869622,1.318180,2.990771,
408.000000,2.799012,1.808165,2.797424,1.761397,2.846990,1.671395,2.874923,1.320062,2.997031,
409.000000,2.803534,1.811157,2.801847,1.763987,2.851811,1.673784,2.880229,1.321942,3.003279,
410.000000,2.808041,1.814128,2.806263,1.766564,2.856627,1.676168,2.885539,1.323819,3.009514,
411.000000,2.812533,1.817079,2.810674,1.769129,2.861438,1.678546,2.890851,1.325695,3.015736,
412.000000,2.817008,1.820012,2.815081,1.771681,2.866245,1.680918,2.896165,1.327568,3.021946,
413.000000,2.821467,1.822926,2.819484,1.774222,2.871045,1.683285,2.901480,1.329439,3.028143,
414.000000,2.825909,1.825824,2.823884,1.776753,2.875839,1.685646,2.906794,1.331651,3.034554,
415.000000,2.830333,1.828708,2.828282,1.779274,2.880628,1.688002,2.912108,1.334005,3.041049,
416.000000,2.834740,1.831577,2.832678,1.781786,2.885409,1.690351,2.917419,1.336355,3.047529,
417.000000,2.839129,1.834435,2.837072,1.784289,2.890184,1.692694,2.922728,1.338702,3.053996,
418.000000,2.843500,1.837282,2.841464,1.786784,2.894952,1.695031,2.928033,1.341045,3.060449,
419.000000,2.847853,1.840121,2.845853,1.789271,2.899712,1.697362,2.933334,1.343383,3.066889,
420.000000,2.852187,1.842952,2.850237,1.791752,2.904465,1.699688,2.938631,1.345718,3.073315,
421.000000,2.856505,1.845776,2.854614,1.794225,2.909213,1.702008,2.943923,1.348049,3.079728,
